Title,URL,Release Year,Genre,IMDb Rating,Streaming Services,Age Rating,Production Country,Runtime,Type
The Penguin,https://www.justwatch.com/in/tv-show/the-penguin,2024,"['Crime', 'Drama', 'Fantasy']",8.7,{'Jio Cinema'},N/A,United States,58min,TV-Show
Citadel: Honey Bunny,https://www.justwatch.com/in/tv-show/citadel-honey-bunny,2024,"['Drama', 'Science-Fiction', 'Mystery & Thriller', 'Action & Adventure']",6.2,{'Amazon Prime Video'},N/A,India,50min,TV-Show
The Day of the Jackal,https://www.justwatch.com/in/tv-show/the-day-of-the-jackal,2024,"['Crime', 'Drama', 'Mystery & Thriller', 'Action & Adventure']",8.1,{'Jio Cinema'},N/A,"United States, United Kingdom",51min,TV-Show
Mirzapur,https://www.justwatch.com/in/tv-show/mirzapur,2018,"['Action & Adventure', 'Drama', 'Crime', 'Mystery & Thriller']",8.4,{'Amazon Prime Video'},N/A,India,50min,TV-Show
Don't Come Home,https://www.justwatch.com/in/tv-show/dont-come-home,2024,"['Mystery & Thriller', 'Drama', 'Horror', 'Science-Fiction']",7.3,{'Netflix'},N/A,Thailand,45min,TV-Show
Taaza Khabar,https://www.justwatch.com/in/tv-show/taaza-khabar,2023,"['Drama', 'Science-Fiction', 'Comedy', 'Fantasy', 'Mystery & Thriller', 'Action & Adventure']",8.1,{'Hotstar'},N/A,India,32min,TV-Show
Bigg Boss,https://www.justwatch.com/in/tv-show/bigg-boss,2006,"['Reality TV', 'Kids & Family']",3.6,{'Hotstar'},N/A,India,1h 15min,TV-Show
XXX: Uncensored,https://www.justwatch.com/in/tv-show/x-x-x-uncensored,2018,"['Comedy', 'Drama', 'Romance']",4.8,{'Alt Balaji'},N/A,India,22min,TV-Show
Dune: Prophecy,https://www.justwatch.com/in/tv-show/dune-the-sisterhood,2024,"['Science-Fiction', 'Drama', 'Action & Adventure']",7.5,{'Jio Cinema'},N/A,United States,54min,TV-Show
The Diplomat,https://www.justwatch.com/in/tv-show/the-diplomat,2023,"['Drama', 'War & Military', 'Mystery & Thriller']",8.0,{'Netflix'},N/A,United States,49min,TV-Show
Arcane,https://www.justwatch.com/in/tv-show/arcane,2021,"['Action & Adventure', 'Drama', 'Fantasy', 'Science-Fiction', 'Animation', 'Mystery & Thriller']",9.0,{'Netflix'},N/A,"United States, France",41min,TV-Show
