Title,URL,Release Year,Genre,IMDb Rating,Streaming Services,Age Rating,Production Country,Runtime,Type
Bhool Bhulaiyaa 3,https://www.justwatch.com/in/movie/bhool-bhulaiyaa-3,Bhulaiyaa,"['Comedy', 'Horror']",5.2  (70k)46%,{'Bookmyshow'},"['UA', 'UA']",{'India'},2h 38min,Movie
Stree 2: Sarkate Ka Aatank,https://www.justwatch.com/in/movie/stree-2,2:,"['Comedy', 'Horror']",7.0  (35k)62%,"{'Amazon Video', 'Amazon Prime Video'}","['UA', 'UA']",{'India'},2h 27min,Movie
Deadpool & Wolverine,https://www.justwatch.com/in/movie/deadpool-3,&,"['Action & Adventure', 'Comedy', 'Science-Fiction']",7.7  (393k)79%,"{'Apple TV', 'Hotstar'}","['A', 'A']",{'United States'},2h 8min,Movie
The Substance,https://www.justwatch.com/in/movie/the-substance,Substance,"['Drama', 'Horror']",7.5  (143k)90%,"{'MUBI', 'MUBI Amazon Channel'}",[],"{'France, United Kingdom'}",2h 20min,Movie
Devara Part 1,https://www.justwatch.com/in/movie/ntr-30,Part,"['Action & Adventure', 'Drama', 'Mystery & Thriller']",6.1  (15k)33%,"{'Bookmyshow', 'Netflix'}","['UA', 'UA']",{'India'},2h 56min,Movie
Meiyazhagan,https://www.justwatch.com/in/movie/meiyazhagan,(2024),"['Kids & Family', 'Drama']",8.4  (9k),{'Netflix'},"['U', 'U']",{'India'},2h 57min,Movie
Vettaiyan,https://www.justwatch.com/in/movie/vettaiyan,(2024),"['Action & Adventure', 'Crime', 'Drama']",7.3  (36k),"{'Amazon Video', 'Amazon Prime Video'}","['UA', 'UA']",{'India'},2h 43min,Movie
Venom: The Last Dance,https://www.justwatch.com/in/movie/venom-3-2024,The,"['Science-Fiction', 'Action & Adventure', 'Mystery & Thriller']",6.2  (43k)41%,{'Bookmyshow'},[],{'United States'},1h 49min,Movie
Kishkindha Kaandam,https://www.justwatch.com/in/movie/kishkkindha-kandam,Kaandam,"['Drama', 'Mystery & Thriller']",8.3  (4k),{'Hotstar'},"['UA', 'UA']",{'India'},2h 13min,Movie
Do Patti,https://www.justwatch.com/in/movie/do-patti,Patti,"['Crime', 'Mystery & Thriller', 'Drama']",6.6  (66k),{'Netflix'},[],{'India'},2h 7min,Movie
Singham Again,https://www.justwatch.com/in/movie/singham-again-2024-0,Again,"['Action & Adventure', 'Drama']",6.0  (68k)36%,{'Bookmyshow'},"['UA', 'UA']",{'India'},2h 24min,Movie
Gladiator,https://www.justwatch.com/in/movie/gladiator,(2000),"['Drama', 'Action & Adventure']",8.5  (1m)80%,"{'Amazon Video', 'Zee5', 'Apple TV', 'Hungama Play', 'Amazon Prime Video'}",[],"{'United States, United Kingdom'}",2h 35min,Movie
Amaran,https://www.justwatch.com/in/movie/amaran-2024,(2024),"['War & Military', 'Action & Adventure', 'Drama']",8.5  (8k),{'Bookmyshow'},[],{'India'},2h 47min,Movie
Martin,https://www.justwatch.com/in/movie/martin,(2024),"['Action & Adventure', 'Drama', 'Mystery & Thriller']",2.5  (35k),"{'aha', 'Amazon Prime Video'}","['UA', 'UA']",{'India'},2h 27min,Movie
Lubber Pandhu,https://www.justwatch.com/in/movie/lubber-pandhu,Pandhu,"['Comedy', 'Drama', 'Sport', 'Kids & Family', 'Romance']",8.3  (4k),{'Hotstar'},"['U', 'U']",{'India'},2h 26min,Movie
The Wild Robot,https://www.justwatch.com/in/movie/the-wild-robot,Wild,"['Science-Fiction', 'Animation']",8.3  (84k)97%,{'Bookmyshow'},[],"{'United States, Japan'}",1h 42min,Movie
Alien: Romulus,https://www.justwatch.com/in/movie/alien-romulus,Romulus,"['Horror', 'Science-Fiction', 'Mystery & Thriller']",7.2  (170k)80%,"{'Apple TV', 'Hotstar'}","['A', 'A']","{'United Kingdom, United States, Hungary, Australia, New Zealand, Canada'}",1h 59min,Movie
Black,https://www.justwatch.com/in/movie/black-2024,(2024),"['Mystery & Thriller', 'Horror', 'Science-Fiction']",7.2  (1k),"{'Amazon Video', 'Amazon Prime Video'}","['UA', 'UA']",{'India'},2h 30min,Movie
Gaganachari,https://www.justwatch.com/in/movie/gaganachari,(2024),"['Science-Fiction', 'Comedy', 'Fantasy']",7.1,{'Amazon Prime Video'},[],{'India'},1h 54min,Movie
Siddharth Roy,https://www.justwatch.com/in/movie/siddharth-roy,Roy,"['Romance', 'Drama']",6.7  (2k),{'aha'},"['A', 'A']",{'India'},2h 28min,Movie
